pin,type,bank,glb,mc,oe,clk
B4,io,0,0,0,0,
B3,io,0,0,1,,
C2,io,0,0,10,,
C1,io,0,0,11,,
C3,io,0,0,12,,
A3,io,0,0,2,,
A2,io,0,0,4,,
A1,io,0,0,6,,
B1,io,0,0,8,,
H4,io,0,1,0,,
E2,io,0,1,10,,
F1,io,0,1,11,,
D3,io,0,1,12,,
E1,io,0,1,13,,
D2,io,0,1,14,,
D1,io,0,1,15,,
F3,io,0,1,2,,
G3,io,0,1,3,,
H3,io,0,1,4,,
H2,io,0,1,5,,
G2,io,0,1,6,,
F2,io,0,1,8,,
G1,io,0,1,9,,
F5,io,1,2,0,,
G5,io,1,2,1,,
F7,io,1,2,10,,
G8,io,1,2,11,,
F8,io,1,2,12,,
G6,io,1,2,2,,
H6,io,1,2,4,,
F6,io,1,2,5,,
H7,io,1,2,6,,
G7,io,1,2,8,,
C4,clk,0,0,,,0
G4,clk,0,1,,,1
H5,clk,1,2,,,2
A4,clk,1,3,,,3
B5,io,1,3,0,1,
C5,io,1,3,10,,
D8,io,1,3,11,,
D7,io,1,3,12,,
E6,io,1,3,13,,
E7,io,1,3,14,,
E8,io,1,3,15,,
A5,io,1,3,2,,
B6,io,1,3,3,,
A6,io,1,3,4,,
B7,io,1,3,5,,
A7,io,1,3,6,,
A8,io,1,3,7,,
C8,io,1,3,8,,
C7,io,1,3,9,,
D4,gnd,,,,,
E5,gnd,,,,,
H1,tck,,,,,
B2,tdi,,,,,
B8,tdo,,,,,
H8,tms,,,,,
D5,vcc_core,,,,,
E4,vcc_core,,,,,
E3,vcco_bank_0,,,,,
F4,vcco_bank_0,,,,,
C6,vcco_bank_1,,,,,
D6,vcco_bank_1,,,,,
