fuse,lc4032ze\grp\gi1\glb1\fb_A3.jed,lc4032ze\grp\gi1\glb1\fb_A11.jed,lc4032ze\grp\gi1\glb1\fb_A15.jed,lc4032ze\grp\gi1\glb1\pin_4.jed,lc4032ze\grp\gi1\glb1\pin_14.jed,lc4032ze\grp\gi1\glb1\pin_34.jed
2:0,1,1,1,1,0,1
2:1,1,1,0,1,1,1
2:2,1,0,1,1,1,1
3:0,1,1,1,1,1,0
3:1,1,1,1,0,1,1
3:2,0,1,1,1,1,1
