pin,type,bank,glb,mc,oe,clk
C7,io,0,0,0,0,
A6,io,0,0,1,,
A3,io,0,0,5,,
B3,io,0,0,6,,
A2,io,0,0,7,,
A1,no_connect,,,,,
B6,io,0,0,2,,
C6,io,0,0,3,,
B5,no_connect,,,,,
A5,no_connect,,,,,
A4,no_connect,,,,,
C4,io,0,0,4,,
C3,no_connect,,,,,
C2,io,0,0,8,,
F1,io,0,0,13,,
F3,io,0,0,14,,
G1,io,0,0,15,,
G2,input,0,0,,,
D1,io,0,0,9,,
D3,io,0,0,10,,
D2,io,0,0,11,,
E1,no_connect,,,,,
E3,no_connect,,,,,
F2,io,0,0,12,,
M1,input,0,1,,,
L3,io,0,1,8,,
J1,io,0,1,13,,
H3,io,0,1,14,,
H1,io,0,1,15,,
H2,no_connect,,,,,
L1,io,0,1,9,,
L2,io,0,1,10,,
K3,io,0,1,11,,
K1,no_connect,,,,,
J3,no_connect,,,,,
J2,io,0,1,12,,
C8,clock,0,0,,,0
N7,clock,0,1,,,1
M7,clock,1,2,,,2
B8,clock,1,3,,,3
P7,no_connect,,,,,
M6,io,0,1,0,,
N3,io,0,1,5,,
M3,io,0,1,6,,
P3,io,0,1,7,,
N2,input,0,1,,,
P6,io,0,1,1,,
N6,io,0,1,2,,
M5,io,0,1,3,,
N5,no_connect,,,,,
M4,no_connect,,,,,
P4,io,0,1,4,,
M8,no_connect,,,,,
P9,io,1,2,0,,
P12,io,1,2,5,,
N12,io,1,2,6,,
P13,io,1,2,7,,
P14,no_connect,,,,,
N9,io,1,2,1,,
M9,io,1,2,2,,
N10,io,1,2,3,,
P10,no_connect,,,,,
P11,no_connect,,,,,
M11,io,1,2,4,,
M12,no_connect,,,,,
M13,io,1,2,8,,
J14,io,1,2,13,,
J12,io,1,2,14,,
H14,io,1,2,15,,
H13,input,1,2,,,
L14,io,1,2,9,,
L12,io,1,2,10,,
L13,io,1,2,11,,
K14,no_connect,,,,,
K12,no_connect,,,,,
J13,io,1,2,12,,
C14,input,1,3,,,
D12,io,1,3,8,,
F14,io,1,3,14,,
G12,io,1,3,15,,
G14,no_connect,,,,,
G13,no_connect,,,,,
D14,io,1,3,9,,
D13,io,1,3,10,,
E12,io,1,3,11,,
E14,no_connect,,,,,
F12,io,1,3,12,,
F13,io,1,3,13,,
A13,gnd,,,,,
B1,gnd,,,,,
N14,gnd,,,,,
P2,gnd,,,,,
B4,gndo,0,,,,
E2,gndo,0,,,,
K2,gndo,0,,,,
N4,gndo,0,,,,
B11,gndo,1,,,,
E13,gndo,1,,,,
K13,gndo,1,,,,
N11,gndo,1,,,,
A7,no_connect,,,,,
P8,no_connect,,,,,
A8,io,1,3,0,1,
C9,io,1,3,1,,
B12,io,1,3,6,,
C12,io,1,3,7,,
A12,input,1,3,,,
B13,no_connect,,,,,
A9,io,1,3,2,,
B9,io,1,3,3,,
C10,no_connect,,,,,
B10,no_connect,,,,,
C11,io,1,3,4,,
A11,io,1,3,5,,
N1,tck,,,,,
B2,tdi,,,,,
B14,tdo,,,,,
N13,tms,,,,,
A14,vcc_core,,,,,
B7,vcc_core,,,,,
N8,vcc_core,,,,,
P1,vcc_core,,,,,
C1,no_connect,,,,,
C5,vcco,0,,,,
G3,vcco,0,,,,
M2,no_connect,,,,,
P5,vcco,0,,,,
A10,vcco,1,,,,
C13,no_connect,,,,,
H12,vcco,1,,,,
M10,vcco,1,,,,
M14,no_connect,,,,,
