pin,type,bank,glb,mc,oe,clk
B5,no_connect,,,,,
A5,no_connect,,,,,
D6,io,0,0,0,0,
B6,io,0,0,1,,
A6,io,0,0,2,,
C6,io,0,0,3,,
C4,no_connect,,,,,
B3,no_connect,,,,,
A2,no_connect,,,,,
A4,io,0,0,4,,
B4,io,0,0,5,,
C5,io,0,0,6,,
A3,io,0,0,7,,
B1,no_connect,,,,,
B2,no_connect,,,,,
D1,io,0,0,11,,
C1,io,0,0,10,,
C2,io,0,0,9,,
C3,io,0,0,8,,
A7,clk,0,0,,,0
L6,clk,0,1,,,1
M6,clk,1,2,,,2
C7,clk,1,3,,,3
F3,in,0,0,,,
E1,no_connect,,,,,
D3,no_connect,,,,,
D2,no_connect,,,,,
F1,io,0,0,15,,
D4,io,0,0,14,,
F2,io,0,0,13,,
E2,io,0,0,12,,
G1,io,0,1,15,,
H3,no_connect,,,,,
H2,no_connect,,,,,
E3,io,0,1,14,,
G2,io,0,1,13,,
G3,io,0,1,12,,
H1,no_connect,,,,,
K2,in,0,1,,,
L1,no_connect,,,,,
J1,io,0,1,11,,
J3,io,0,1,10,,
J2,io,0,1,9,,
K1,io,0,1,8,,
L4,io,0,1,4,,
M2,no_connect,,,,,
K3,no_connect,,,,,
M1,no_connect,,,,,
M3,io,0,1,5,,
K4,io,0,1,6,,
J4,io,0,1,7,,
L3,in,0,1,,,
F06,gnd,,,,,
F07,gnd,,,,,
G06,gnd,,,,,
G07,gnd,,,,,
E6,no_connect,,,,,
F05,gnd,,,,,
G05,gnd,,,,,
H04,gnd,,,,,
H06,gnd,,,,,
E07,gnd,,,,,
F08,gnd,,,,,
G08,gnd,,,,,
H7,no_connect,,,,,
J09,gnd,,,,,
L5,no_connect,,,,,
M4,no_connect,,,,,
K6,io,0,1,0,,
M5,io,0,1,1,,
J6,io,0,1,2,,
K5,io,0,1,3,,
L8,no_connect,,,,,
M8,no_connect,,,,,
K7,io,1,2,0,,
M7,io,1,2,1,,
L7,io,1,2,2,,
J7,io,1,2,3,,
L10,no_connect,,,,,
K9,no_connect,,,,,
M11,no_connect,,,,,
M9,io,1,2,4,,
L9,io,1,2,5,,
K8,io,1,2,6,,
M10,io,1,2,7,,
L11,no_connect,,,,,
L12,no_connect,,,,,
K11,io,1,2,11,,
J10,io,1,2,10,,
K12,io,1,2,9,,
K10,io,1,2,8,,
G10,in,1,2,,,
H10,no_connect,,,,,
J11,no_connect,,,,,
J12,no_connect,,,,,
G12,io,1,2,15,,
H11,io,1,2,14,,
G11,io,1,2,13,,
H12,io,1,2,12,,
F12,io,1,3,15,,
F10,no_connect,,,,,
D12,no_connect,,,,,
F11,io,1,3,14,,
E11,io,1,3,13,,
E12,io,1,3,12,,
D10,no_connect,,,,,
C11,in,1,3,,,
B12,no_connect,,,,,
E10,io,1,3,11,,
D11,io,1,3,10,,
E9,io,1,3,9,,
C12,io,1,3,8,,
A10,io,1,3,4,,
B10,no_connect,,,,,
C10,no_connect,,,,,
A12,no_connect,,,,,
C9,io,1,3,5,,
B9,io,1,3,6,,
D9,io,1,3,7,,
A11,in,1,3,,,
B8,no_connect,,,,,
A9,no_connect,,,,,
B7,io,1,3,0,1,
D7,io,1,3,1,,
A8,io,1,3,2,,
C8,io,1,3,3,,
L02,tck,,,,,
A01,tdi,,,,,
B11,tdo,,,,,
M12,tms,,,,,
E05,vcc_core,,,,,
E08,vcc_core,,,,,
H05,vcc_core,,,,,
H08,vcc_core,,,,,
D05,vcco_bank_0,,,,,
E4,no_connect,,,,,
F04,vcco_bank_0,,,,,
G4,no_connect,,,,,
J05,vcco_bank_0,,,,,
D08,vcco_bank_1,,,,,
F9,no_connect,,,,,
G09,vcco_bank_1,,,,,
H9,no_connect,,,,,
J08,vcco_bank_1,,,,,
